id,text,corrected,word,tag
22,"Окружающие люди забирают у индивиду его энергию, которую время от времени надо компенсировать С другой стороны, не стоит слишком много быть наедине с собой.","Окружающие люди забирают у индивида его энергию, которую время от времени надо компенсировать. С другой стороны, не стоит слишком много быть наедине с собой.",индивиду,"agr, cause, typo"
23,"Здесь, конечно, можно возразить, припомнив второе, переносное, значение слова « ремесленник »: это человек, который действует по шаблону, не создавая ничего новаторского Безусловно, рассматривать художника с такой точки зрения нельзя, так как вся суть процесса творчества – это привнесение свежей струи в вековой поток уже выраженных кем-то через искусство мыслей и чувств.","Здесь, конечно, можно возразить, припомнив второе, переносное, значение слова «ремесленник»: это человек, который действует по шаблону, не создавая ничего нового. Безусловно, рассматривать художника с такой точки зрения нельзя, так как вся суть процесса творчества – это привнесение свежей струи в вековой поток уже выраженных кем-то через искусство мыслей и чувств.",новаторского,"deriv, lex, word"
24,Главная пешая улица Стамбула просто наводнена людьми со всех концов света.,Главная пешеходная улица Стамбула просто наводнена людьми со всех концов света.,пешая,deriv
26,Его мечта —\n высокооплачиваемая работа.,Его мечта — высокооплачиваемая работа.,\n,typo
27,Курс теории Галуа учит решать очень тяжелый задачи.,Курс теории Галуа учит решать очень тяжелые задачи.,тяжелый,"agr, cause, typo"
28,"Поэтому, по моему мнению, лучше использовать другие методы экзаменовки такие как написание эссе или ответы по билетам.","Поэтому, по моему мнению, лучше использовать другие методы экзаменования, такие как написание эссе или ответы по билетам.",экзаменовки,"deriv, paron"
29,Ведь если мы не можем применить усвоенные данные то становится невозможным и оценка их истинности.,"Ведь если мы не можем применить усвоенные данные, то становится невозможна и оценка их истинности.",невозможным,agr
30,"В этом случае начинается « зубрежка », которая и вправду помогала сдать экзамены.","В этом случае начинается «зубрежка», которая и вправду помогала сдавать экзамены.",сдать,"deriv, asp"
31,"Но все же, я считаю, что при зубрежки новый материал усваивается намного хуже, чем при осознанном понимании.","Но все же, я считаю, что при заучивании новый материал усваивается намного хуже, чем при осознанном понимании.",зубрежки,"infl, styl, colloq"
32,В современном мире нам часто приходиться переживать и нервничать из-за чего страдает наша нервная система.,"В современном мире нам часто приходится переживать и нервничать, из-за чего страдает наша нервная система",приходиться,infl
33,"Поэтому чтобы получить высокий балл, порой достаточно быстро выучить какие-то данные понятия и рассказать их Возможно, ты даже не вспомнишь всего, как только выйдешь из кабинета.","Поэтому чтобы получить высокий балл, порой достаточно быстро выучить какие-то определённые понятия и рассказать их. Возможно, ты даже не вспомнишь всего, как только выйдешь из кабинета.",данные,"deriv, paron, lex, word"
34,Цветущие вишневые деревья заполняют воздух тонким ароматом.,Цветущие вишневые деревья наполняют воздух тонким ароматом.,заполняют,deriv
35,"Во-вторых - знания , полученные в ходе изучение таких предметов, послужит базой для общения с людьми любой культуры.","Во-вторых - знания, полученные в ходе изучения таких предметов, послужат базой для общения с людьми любой культуры.",изучение,"gov, cause, typo"
36,"В-третьих, с групповыми стереотипами тесно связаны этнические стереотипы и культурные стереотипы вообще Например, предвзятое отношение к членам других этносов ( негативный гетростереотип).","В-третьих, с групповыми стереотипами тесно связаны этнические стереотипы и культурные стереотипы вообще. Например, предвзятое отношение к членам других этносов (негативный гетеростереотип).",гетростереотип,"deriv, paron, cause, typo"
37,"Этот выдуманная беседа открывает один важный момент: запомнить – это заучить, чтобы впоследствии машинально извлечь из себя, воспроизвести точь-в-точь так, как принял.","Эта выдуманная беседа открывает один важный момент: запомнить – это заучить, чтобы впоследствии машинально извлечь из себя, воспроизвести точь-в-точь так, как принял.",Этот,"infl, cause, typo"
38,"Представьте себе человека, который никогда в своей жизни не видел и не знал о том, что такое море.","Представьте себе человека, который никогда в своей жизни не видел моря и не знал, что это такое.","не знал о том,  что такое море","gov, constr"
39,"Я считаю что оба аспекта важны, но в первую очередь человек должен стемиться к саморазвитию, к культуре, к познанию мира, и в данном ситуации ценность образования превосходит его полезность.","Я считаю, что оба аспекта важны, но в первую очередь человек должен стремиться к саморазвитию, к культуре, к познанию мира, и в данной ситуации ценность образования превосходит его полезность.",данном,"gov, cause, typo, official"
41,"У правительства своя отгороженная дорога, к магазинам также отдельные подъездные полосы или дороги и всем бы все хватало!","У правительства своя отгороженная дорога, к магазинам также отдельные подъездные полосы или дороги, и всем бы всего хватало!",все,"gov, colloq"
42,Большую конкуренцию составляет либерализм и социализм.,Большую конкуренцию составляют либерализм и социализм.,составляет,agr
43,Невероятно красивые живописные пейзажи захватывают дух своей красотой.,Невероятно красивые живописные пейзажи захватывают дух.,красотой,"gov, tauto"
44,"Часто нам прививают определённые стереотипы относительно явлений, и нам сложно помыслить эти явления в условиях, отличных от этих стереотипов.","Часто нам прививают определённые стереотипы относительно явлений, и нам сложно представить эти явления в условиях, отличных от этих стереотипов.",помыслить,"deriv, paron, lex, word"
45,"Я буду говорить о настоящих самоубийствах, а не попытках запугать близких или сыграть на их чувствах и психологии, которые тоже имеют место быть в довольно больших масштабах.","Я буду говорить о настоящих самоубийствах, а не попытках запугать близких или сыграть на их чувствах и психике, пусть эти попытки тоже имеют место быть в довольно больших масштабах.",психологии,"deriv, paron, lex, word"
46,"Фейман приводит несколько примеров того, как люди не могут узнать какое-то правило в реальных жизненных обстоятельствах.","Фейнман приводит несколько примеров того, как люди не могут распознать какое-то правило в реальных жизненных обстоятельствах.",узнать,"deriv, paron, lex, word"
47,"Благодаря международным сервисам, таким как « Фацебоок », « Мы Спаце », можно связаться с людьми из любой части земного шара и улучшать уровень языка, увеличивая словарный запас.","Благодаря международным сервисам, таким как « Фацебоок », « Мы Спаце », можно связаться с людьми из любой части земного шара и улучшить уровень языка, увеличивая словарный запас.",улучшать,"deriv, asp, coord, lex, phrase"
48,"Эти сервисы помогают людям объединиться в группы с теми, кто разделяет их интересы.","Эти сервисы помогают людям объединяться в группы с теми, кто разделяет их интересы.",объединиться,"deriv, asp"
50,"Ведь в толпе человек порой изменят своим принципам, привычкам, делает то, всю жизнь считал неприемлемым.","Ведь в толпе человек порой изменяет своим принципам, привычкам, делает то, что всю жизнь считал неприемлемым.",изменят,"infl, cause, typo"
51,"Очень сильно, как я считаю, на нас влияют пробки и скопления огромного количества народу.","Очень сильно, как я считаю, на нас влияют пробки и скопления огромного количества народа.",народу,infl
52,Как министерство образование могло допустить такую утечку информации?!,Как министерство образования могло допустить такую утечку информации?!,образование,"gov, cause, typo"
53,"Свой успех Талеб так же объясняет умением расширить границы своих ожиданий и принимать в расчет маловероятные события - те самые"" Чёрные лебеди"". ","Свой успех Талеб так же объясняет умением расширять границы своих ожиданий и принимать в расчет маловероятные события - те самые ""Чёрные лебеди"".",расширить,"deriv, asp"
54,Другим важным фактором является здоровье: почти пятая часть населения Россия не может иметь детей.,Другим важным фактором является здоровье: почти пятая часть населения России не может иметь детей.,Россия,"infl, cause, typo"
55,В настоящее время я работаю в компании ФИННЕАСТ ЛОГИСТИЦС ГРОУП на должности менеджер транспортной логистики.,В настоящее время я работаю в компании ФИННЕАСТ ЛОГИСТИЦС ГРОУП в должности менеджера транспортной логистики.,на,gov
56,"Для меня было очень большой неожиданностью выигрывать несколько конкурсов, впрочем как и закончить саму музыкальную школу на отлично.","Для меня было очень большой неожиданностью выиграть несколько конкурсов, впрочем, как и закончить саму музыкальную школу на отлично.",выигрывать,"deriv, asp"
57,"Здравствуйте. имя – Сергей Нагорный, и сейчас я собираюсь рассказать о паре интересных моментах моей жизни, которые в разной мере повлияли на меня и на то, что меня окружает.","Здравствуйте. Мое имя – Сергей Нагорный, и сейчас я собираюсь рассказать о паре интересных моментов моей жизни, которые в разной мере повлияли на меня и на то, что меня окружает.",моментах,gov
58,"Умение предсказывать появление"" Чёрных лебедей"", а не объяснять причину возникновение после всех событий, а так же способность лавировать и преуспевать в таких условиях являются основной темой данной книги. ","Умение предсказывать появление ""Чёрных лебедей"", а не объяснять причину их возникновения после всех событий, а так же способность лавировать и преуспевать в таких условиях являются основной темой данной книги.",возникновение,"infl, lack"
59,"Другими словами, виртуальное общение становиться образом жизни, а это негативно влияет на личную жизнь и карьеру.","Другими словами, виртуальное общение становится образом жизни, а это негативно влияет на личную жизнь и карьеру.",становиться,"deriv, asp"
60,"Безусловно, мы не можем отрицать удобность тестов, потому что они помогают преподавателям значительно сэкономить время как на самом экзамене, так и при дальнейшей проверке работ.","Безусловно, мы не можем отрицать удобство тестов, потому что они помогают преподавателям значительно сэкономить время как на самом экзамене, так и при дальнейшей проверке работ.",удобность,"deriv, paron"
61,"Прежде всего, рекомендуема к прочтению студентам экономических и юридических специальностей, а также ученым.","Прежде всего, рекомендуется к прочтению студентам экономических и юридических специальностей, а также ученым.",рекомендуема,"deriv, paron, cause, typo"
62,"По собственному опыту, а также опыту других экзаменуемых могу сказать, что на многие вопросы, каким бы они не были сложными, можно было верно ответить с вероятностью 25%, и в некоторых случаях это действительно « срабатывало ».","По собственному опыту, а также опыту других экзаменуемых могу сказать, что на многие вопросы, какими бы они ни были сложными, можно было верно ответить с вероятностью 25%, и в некоторых случаях это действительно «срабатывало».",каким,"ref, compar, lex, constr"
63,"В Интернете содержится огромное количество полезной информации, которое доступно каждому заинтересованному лицу.","В Интернете содержится огромное количество полезной информации, которая доступно каждому заинтересованному лицу.",которое,"ref, discourse"
64,"Данный научный труд может быть интерен к прочтению не только политикам, экономистам и философам, но и обычному человеку, которому она и была предназначена изначально.","Данный научный труд может быть интерен к прочтению не только политикам, экономистам и философам, но и обычным людям, которым она и была предназначена изначально.",которому,"gov, lack"
65,"Хайек прослеживает связь между социализмом и тоталитарными режимами, рассматривает и описывает тенденцию развития отношения государства и общества в 19-20 веках, причины и последствия усиления государственного контроля над людьми и сферами их деятельности.","Хайек прослеживает связь между социализмом и тоталитарными режимами, рассматривает и описывает тенденцию развития отношений государства и общества в 19-20 веках, причины и последствия усиления государственного контроля над людьми и сферами их деятельности.",отношения,"infl, lack"
66,Задание 4. Моя жизнь стала на много насыщенной после начала 2013 года.,Задание 4. Моя жизнь стала намного более насыщенной после начала 2013 года.,насыщенной,"infl, compar"
67,Минусов рекламы тоже очень много.,Минусов у рекламы тоже очень много.,рекламы,gov
68,"В своих работах Лаков описывает семантическое развитие значения как переход от конкретного к абстрактному, В. А. Плунгян и Е.В.Рахилина статьи предлагают изменить этот подход на противоположный.","В своих работах Лаков описывает семантическое развитие значения как переход от конкретного к абстрактному, В. А. Плунгян и Е. В. Рахилина в своих статьях предлагают изменить этот подход на противоположный.",статьи,"agr, lack"
70,"Исследователь Дженс Прусснер, доктор наук, директор институт ментального здоровья в Монреале проводил опыт, который доказал, что жители городов менее устойчивы к стрессу по сравнению с сельскими жителями.","Исследователь Дженс Прусснер, доктор наук, директор института ментального здоровья в Монреале проводил опыт, который доказал, что жители городов менее устойчивы к стрессу по сравнению с сельскими жителями.",институт,"gov, cause, typo"
71,"В первом случае мы исходим из так называемой « функциональной » гипотезы, при этом мы принимаем за наиболее характерные « конфигурациональные » значения предлога, из которого путем изменения некоторых параметров могут быть получены все остальные значения.","В первом случае мы исходим из так называемой «функциональной» гипотезы, при этом мы принимаем за наиболее характерные «конфигурациональные» значения предлога, из которых путем изменения некоторых параметров могут быть получены все остальные значения.",из которого,"ref, pron, complex, rel_clause"
72,"В конце статьи « Предлог над: факты и интерпретации » следует обобщить вышесказанное В первую очередь необходимо отметить, что предлог над по сравнению с другими русскими предлогами обладает более компактной и обозримой сетью значений, среди которых можно выделить « пространственные »,« непространственные » и « смешанные » употребления предлога над При пространственном значении предлога над локализуемый объект занимает позицию выше ориентира и при этом не находится с ним в контакте.","В конце статьи «Предлог над: факты и интерпретации» следует обобщить вышесказанное. В первую очередь необходимо отметить, что предлог 'над' по сравнению с другими русскими предлогами обладает более компактной и обозримой сетью значений, среди которых можно выделить «пространственные», «непространственные» и «смешанные» употребления предлога 'над'. В пространственном значении предлога 'над' локализуемый объект занимает позицию выше ориентира и при этом не находится с ним в контакте.",При,"gov, lex, phrase"
73,"Безусловно, многие студент вне зависимости от возраста и курса задумывается над тем, чтобы как можно раньше найти оплачиваемую работу и получить определенный опыт.","Безусловно, многие студенты вне зависимости от возраста и курса задумываются над тем, чтобы как можно раньше найти оплачиваемую работу и получить определенный опыт.",студент,"agr, cause, typo"
74,"Один всё выучил, пишет всё сам, другой или списывает у кого-то или выбирает ответы просто наугад, а, в конечном счете, оценка у них одна.","Один всё выучил, пишет всё сам, другой или списывает у кого-то или выбирает ответы просто наугад, а в конечном счете оценка у них одинаковая.",одна,"deriv, paron"
75,Сценарный подход помог бы избежать недостаточности информации.,Сценарный подход помог бы избежать недостатка информации.,недостаточности,"deriv, paron, lex, word"
76,"В-четвертых, мне кажется странным то, что примеры « на беду, на счастье » интерпретируются как пространственные примеры значений предлога « НА ».","В-четвертых, мне кажется странным то, что примеры «на беду, на счастье» интерпретируются как пространственные значения предлога «НА».",пространственные,"gov, constr"
77,"Более того, вероятность можно увеличивать, к примеру, используя метод исключения.","Более того, вероятность можно увеличить, к примеру, используя метод исключения.",увеличивать,"deriv, asp"
78,"Они готовы проводить в нем часами ведь благодаря Интернету в игры можно играть с друзьями, не выходя из дома.","Они готовы проводить в нем долгие часы, ведь благодаря Интернету в игры можно играть с друзьями, не выходя из дома.",часами,"infl, cause, contam"
79,"Автор выделяет признаки этого феномена, пытается продемонстрировать его важность, показать его влияние на жизнь людей, присоединить читателя к своим размышлениям.","Автор выделяет признаки этого феномена, пытается продемонстрировать его важность, показать его влияние на жизнь людей, привлечь читателя к своим размышлениям.",присоединить,"deriv, paron"
80,"Например, девушка скорее всего предпочтет к прочтению книгу"" Как привлечь к себе удачу"", чем учебник по высшей математике. ","Например, девушка скорее всего предпочтет прочитать книгу ""Как привлечь к себе удачу"", чем учебник по высшей математике. ",книгу,gov
82,чём Вы видите новаторство подхода Д. Пайара к анализу предлогов?,В чём Вы видите новаторство подхода Д. Пайара к анализу предлогов?,ч,typo
83,"Вместо этого он строит единый для предлога сценарий, из которого, в зависимости от семантических взаимоотношений между этим сценарием и актантами, а также от кнтекстуальных особенностей, выводится значение каждого отдельного употребления предлога.","Вместо этого он строит единый для предлога сценарий, из которого, в зависимости от семантических взаимоотношений между этим сценарием и актантами, а также от контекстуальных особенностей, выводится значение каждого отдельного употребления предлога.",н,typo
84,"Автор рассуждает о причинах возникновения неравенства людей перед законом, а также основах взаимоотношений властей и народа в государствах различных политических режимов.","Автор рассуждает о причинах возникновения неравенства людей перед законом, а также об основах взаимоотношений властей и народа в государствах различных политических режимов.",основах,"agr, lack, prep"
85,Так же всплывают и понятая теория.,Так же всплывает и понятая теория.,всплывают,"agr, lex, word, discourse, tauto"
86,Наша жизнь непостоянная и изменчива.,Наша жизнь изменчива.,непостоянная,"infl, tauto"
87,"Вы сможете порассуждать над проблемами экономического характера своего государства и, наверное, сделать новые открытия для себя!","Вы сможете обсудить проблемы экономического характера своего государства и, наверное, сделать новые открытия для себя!",порассуждать,"deriv, asp"
88,"Под урбанизацией подразумевают всемирный , исторический процесс повышения роди городов за счёт естественного роста городского населения , миграции из сельской местности и преобразовании её в городскую.","Под урбанизацией подразумевают всемирный, исторический процесс повышения роди городов за счёт естественного роста городского населения, миграции из сельской местности и преобразования её в городскую.",преобразовании,"gov, coord, discoord"
89,Ритм жизни и плотность населения в большом городе одновременно изматывает и даёт чувство безопасности: зачастую человеку просто бывает некогда задуматься о своих проблемах.,Ритм жизни и плотность населения в большом городе одновременно изматывают человека и дают ему чувство безопасности: зачастую человеку просто бывает некогда задуматься о своих проблемах.,даёт,"agr, lack"
90,"Без ее применения не сможет работать ни одно предприятие, фирма, заводы и т. д. Больницы и школы оснащены компьютерными технологиями.","Без ее применения не сможет работать ни одно предприятие, фирма, завод и т. д. Больницы и школы оснащены компьютерными технологиями.",заводы,"gov, coord, discoord"
91,"Сильно снизился уровень грамотности и читаемости, так как большинство подростков играют в компьютерные игры или же сидят в социальных сетях.","Сильно снизился уровень грамотности, так как большинство подростков играют в компьютерные игры или же сидят в социальных сетях.",читаемости,"deriv, coord, discoord"
92,"На одну платформу вмещается один сорока футовый контейнер , или два двадцати футовых , если получатель заказывает сорока футовый контейнер, тогда платформа сцепляется в состав и следуют по маршруту до конечной станции.","На одну платформу вмещается один сорокафутовый контейнер или два двадцатифутовых, если получатель заказывает сорокафутовый контейнер, тогда платформы сцепляются в состав и следуют по маршруту до конечной станции.",сорока футовый,deriv
93,"Кондиционеры, трикотаж, текстиль, телевизоры , телефоны, мебель, оборудование для производства продуктов питания, холодильники, и многое другие товары , ведь мы их используем ежедневно в повседневных нуждах.","Кондиционеры, трикотаж, текстиль, телевизоры, телефоны, мебель, оборудование для производства продуктов питания, холодильники и многие другие товары, ведь мы их используем ежедневно в обыденных нуждах.",повседневных,tauto
94,"Заключение: всего этого материала становится ясно, что бессмертие далеко не за горами и тем более это не миф.","В заключение всего этого материала становится ясно, что бессмертие далеко не за горами и тем более не миф.",заключение,word
95,"Главная идея анализа эмоций Пола Экмана заключается в том, что к каждому человеку нужен собственный подход, и интерпретация жестов должна первоначально строится от человека и потом подводится под общие системы.","Главная идея анализа эмоций Пола Экмана заключается в том, что к каждому человеку нужен собственный подход, и интерпретация жестов должна сначала строится от человека и потом подстраиваться под общие системы.",подводится,"deriv, asp"
96,"Дело в том, что перед тем, как выпустить их пациента наружу, с ним проводили беседу, что бы понять его степень выздоровления.","Дело в том, что перед тем, как выпустить их пациента наружу, с ним проводили беседу, чтобы понять его степень выздоровления.",что бы,word
97,"Во время опроса она отвечала на все вопросы искренне, и ни Экман ни психиатры не заметили каких либо признаков депрессии, и потому выписали ее.","Во время опроса она отвечала на все вопросы искренне, и ни Экман, ни психиатры не заметили каких-либо признаков депрессии, и потому выписали ее.",каких либо,word
98,"Он пересматривал запись с ее опросом множество раз и не мог понять, где же все таки она соврала.","Он пересматривал запись с ее опросом множество раз и не мог понять, где же все-таки она соврала.",все таки,word
99,"Нередко женщины идут в политику, чтобы защитить собственные права, улучшить ситуацию в социальной сфере, но таких много, а тех, кто мыслит глубоко, на профессиональном уровне, обобщая во едино все грани развития государства, мало.","Нередко женщины идут в политику, чтобы защитить собственные права, улучшить ситуацию в социальной сфере, но таких много, а тех, кто мыслит глубоко, на профессиональном уровне, обобщая воедино все грани развития государства, мало.",во едино,word
100,"Тетчер. рассматривать появление женщин в политике, как отрицательное явление, то можно увидеть, скорее, взгляд мужчин на этот вопрос.","Тетчер. Если рассматривать появление женщин в политике как отрицательное явление, то можно увидеть, скорее, взгляд мужчин на этот вопрос.",рассматривать,conn
101,"Для этого на собеседовании придется будет ответить на многочисленные вопросы из самых разных областей знаний, затем будущим сотрудникам предлагают пройти тестирование, а далее, возможно, последует испытательный срок.","Для этого на собеседовании нужно будет ответить на многочисленные вопросы из самых разных областей знаний, затем будущим сотрудникам предложат пройти тестирование, а далее, возможно, последует испытательный срок.",придётся,constr
102,"Также принудительное изучение материалов, который преподают в школах, не позволяет развиваться ученикам в отдельных областях, ведь учебная программа идет дальше темы сменяются и изученный материал остается позади.","Также принудительное изучение материалов, которые преподают в школах, не позволяет развиваться ученикам в отдельных областях, ведь учебная программа идет дальше, темы сменяются и изученный материал остается позади.",который,agr
103,"По каким-то причинам, которые я попытаюсь рассмотреть в этом эссе, языковая составляющая социальных сетей смело называется уникальным языком, диалектом, как угодно.","По каким-то причинам, которые я попытаюсь рассмотреть в этом эссе, языковую составляющую социальных сетей смело называют уникальным языком, диалектом, как угодно.",называется,"deriv, voice"
104,"Эти адреналин в крови, ощущение безграничной свободы и вседозволенности, понимание того, что весь мир лежит перед глазами делают человека совершенно другим, открывают невиданные стороны его характера, помогает познать мир и, через этот мир, самого себя.","Адреналин в крови, ощущение безграничной свободы и вседозволенности, понимание того, что весь мир лежит перед глазами, делают человека совершенно другим, открывают невиданные стороны его характера, помогают ему познать мир и, через этот мир, самого себя.",помогает,"agr, lack"
105,"Иногда это выглядит так: В других случаях изображения содержат и текст: В третьем случае пользователь пользуется как текстом, так и визуальным прложением Кроме того, если в указанных случаях пользователям необходимо самим в сети поискать изображения, то сервисы соцсетей обычно сами предлагают набор"" смайлов"", которые давно включают в себя не только лица, изображающие определенные интонации, но и предметы быта, которые при использовании в том или ином диалоге либо появляющиеся в дискуссиях наполняются новым смыслом, новым значением. ","Иногда это выглядит так: в других случаях изображения содержат и текст: в третьем случае пользователь пользуется как текстом, так и визуальным приложением. Кроме того, если в указанных случаях пользователям необходимо самим в сети поискать изображения, то сервисы соцсетей обычно сами предлагают набор ""смайлов"", которые давно включают в себя не только лица, изображающие определенные интонации, но и предметы быта, которые при использовании в том или ином диалоге либо появляющиеся в дискуссиях наполняются новым смыслом, новым значением. ",прложением,typo
106,"Если же в целом посмотреть на новшества, приходящие из соцесетей которые граничат между профессиональной терминологией программистов, молодежным слэнгом и жаргоном, видно, что эта языковая культура рождается во взаимодействии трех компонентов.","Если же в целом посмотреть на новшества, приходящие из социальных сетей, которые граничат между профессиональной терминологией программистов, молодежным слэнгом и жаргоном, видно, что эта языковая культура рождается во взаимодействии трех компонентов.",соцесетей,"typo, colloq"
107,"Я считаю, что главная причина состоит в том, что люди, по почему то неудовлетворённые в каких-то сферах жизни, ищут замены в альтернативной реальности.","Я считаю, что главная причина состоит в том, что люди, почему-то неудовлетворённые в каких-то сферах жизни, ищут замены в альтернативной реальности.",почему то,word
